geoareaname,seriescode,value
Lesotho,SI_COV_PENSN,94
Slovenia,SI_COV_WKINJRY,80.45
Isle of Man,SI_COV_UEMP,80
Indonesia,SI_COV_SOCASTPQ,75.55
Russian Federation,SI_COV_SOCASTPQ,74.9
Netherlands,SI_COV_UEMP,73
The former Yugoslav Republic of Macedonia,SI_COV_PENSN,71.4
Russian Federation,SI_COV_SOCAST,66.85
Malta,SI_COV_UEMP,62.2
Philippines,SI_COV_SOCASTPQ,62.12
Mongolia,SI_COV_WKINJRY,60.23
Brazil,SI_COV_SOCASTPQ,58.54
Russian Federation,SI_COV_SOCINS,54.05
Russian Federation,SI_COV_SOCINSPQ,48.93
Argentina,SI_COV_WKINJRY,48.85
Indonesia,SI_COV_SOCAST,48.74
Malaysia,SI_COV_WKINJRY,43.99
Thailand,SI_COV_UEMP,43.2
Kazakhstan,SI_COV_WKINJRY,43.15
Colombia,SI_COV_WKINJRY,39.64
Dominican Republic,SI_COV_WKINJRY,39.21
Côte d'Ivoire,SI_COV_SOCASTPQ,36.46
Philippines,SI_COV_SOCAST,33.83
Tunisia,SI_COV_PENSN,33.8
Brazil,SI_COV_SOCINS,30.54
Côte d'Ivoire,SI_COV_SOCAST,27.23
El Salvador,SI_COV_WKINJRY,26.8
China,SI_COV_WKINJRY,26.45
Brazil,SI_COV_SOCAST,23.72
Ukraine,SI_COV_UEMP,21.9
Viet Nam,SI_COV_WKINJRY,21.1
Honduras,SI_COV_WKINJRY,18.27
Indonesia,SI_COV_WKINJRY,15.36
Zambia,SI_COV_WKINJRY,12.2
Fiji,SI_COV_PENSN,10.6
Brazil,SI_COV_SOCINSPQ,10.58
South Africa,SI_COV_UEMP,10.5
Philippines,SI_COV_SOCINS,8.92
Brazil,SI_COV_LMKTPQ,8.39
Indonesia,SI_COV_SOCINS,8.18
Côte d'Ivoire,SI_COV_SOCINS,7.92
Cameroon,SI_COV_WKINJRY,7.9
Russian Federation,SI_COV_LMKTPQ,7.72
Brazil,SI_COV_LMKT,6.91
Indonesia,SI_COV_LMKT,5.44
Côte d'Ivoire,SI_COV_SOCINSPQ,5.43
Indonesia,SI_COV_LMKTPQ,4.72
Nigeria,SI_COV_SOCASTPQ,4.08
Nigeria,SI_COV_SOCAST,3.76
Philippines,SI_COV_SOCINSPQ,3.27
Myanmar,SI_COV_WKINJRY,2.86
Russian Federation,SI_COV_LMKT,2.81
Nigeria,SI_COV_SOCINS,2.71
Burkina Faso,SI_COV_WKINJRY,2.26
Haiti,SI_COV_WKINJRY,2.06
Indonesia,SI_COV_SOCINSPQ,1.53
Nigeria,SI_COV_SOCINSPQ,1.16
Mali,SI_COV_WKINJRY,0.05