geoareaname,age,sex,value
Senegal,15-24,BOTHSEX,36.2
Armenia,15-24,BOTHSEX,35.6
Albania,15-29,BOTHSEX,32.8
State of Palestine,15-24,BOTHSEX,31.6
South Africa,15-24,BOTHSEX,30.5
Pakistan,15-24,BOTHSEX,30.4
El Salvador,15-24,BOTHSEX,29.9
Republic of Moldova,15-24,BOTHSEX,27.8
Bosnia and Herzegovina,15-24,BOTHSEX,27.7
Egypt,15-24,BOTHSEX,27.6
Honduras,15-24,BOTHSEX,27
Guatemala,15-24,BOTHSEX,26.5
Mali,15-24,BOTHSEX,24.9
The former Yugoslav Republic of Macedonia,15-24,BOTHSEX,24.7
Turkey,15-24,BOTHSEX,23.9
Indonesia,15-24,BOTHSEX,22.9
Philippines,15-24,BOTHSEX,22.7
Colombia,15-24,BOTHSEX,21.7
Brazil,15-24,BOTHSEX,21.5
Kyrgyzstan,15-24,BOTHSEX,21.4
Italy,15-24,BOTHSEX,21.3
Algeria,15-24,BOTHSEX,21.2
Dominican Republic,15-24,BOTHSEX,20.9
Serbia,15-24,BOTHSEX,20.1
Ecuador,15-24,BOTHSEX,19.8
Mexico,15-24,BOTHSEX,19.8
Bulgaria,15-24,BOTHSEX,19.3
Costa Rica,15-24,BOTHSEX,18.9
Uruguay,15-24,BOTHSEX,18.7
Myanmar,15-24,BOTHSEX,18.6
Peru,15-24,BOTHSEX,18.5
Romania,15-24,BOTHSEX,18.1
Croatia,15-24,BOTHSEX,18.1
Ukraine,15-24,BOTHSEX,17.6
Greece,15-24,BOTHSEX,17.2
Mongolia,15-24,BOTHSEX,16.8
Paraguay,15-24,BOTHSEX,16.8
Montenegro,15-24,BOTHSEX,16.5
Saudi Arabia,15-24,BOTHSEX,16.1
Spain,15-24,BOTHSEX,15.6
Israel,15-24,BOTHSEX,15.5
Cyprus,15-24,BOTHSEX,15.3
Bolivia (Plurinational State of),15-24,BOTHSEX,14.6
Ireland,15-24,BOTHSEX,14.3
Slovakia,15-24,BOTHSEX,13.7
Thailand,15-24,BOTHSEX,13.6
Belgium,15-24,BOTHSEX,12.2
Russian Federation,15-24,BOTHSEX,12
France,15-24,BOTHSEX,11.9
Hungary,15-24,BOTHSEX,11.6
New Zealand,15-24,BOTHSEX,11.3
Portugal,15-24,BOTHSEX,11.3
United Kingdom of Great Britain and Northern Ireland,15-24,BOTHSEX,11.1
Poland,15-24,BOTHSEX,11
Estonia,15-24,BOTHSEX,10.8
Finland,15-24,BOTHSEX,10.6
Latvia,15-24,BOTHSEX,10.5
Malta,15-24,BOTHSEX,10.4
Canada,15-24,BOTHSEX,10.3
Australia,15-24,BOTHSEX,9.8
Slovenia,15-24,BOTHSEX,9.5
Lithuania,15-24,BOTHSEX,9.2
Kazakhstan,15-28,BOTHSEX,8.5
Belize,15-24,BOTHSEX,8.4
Czechia,15-24,BOTHSEX,7.5
Austria,15-24,BOTHSEX,7.5
Switzerland,15-24,BOTHSEX,7.4
Sweden,15-24,BOTHSEX,6.8
Denmark,15-24,BOTHSEX,6.2
Luxembourg,15-24,BOTHSEX,6.2
Germany,15-24,BOTHSEX,6.2
Norway,15-24,BOTHSEX,5
Netherlands,15-24,BOTHSEX,4.7
Iceland,15-24,BOTHSEX,4.6
Japan,15-24,BOTHSEX,3.6