geoareaname,timeperiod,type_of_mobile_technology,value
Singapore,2015,null,80.38
Qatar,2015,null,66.87
Republic of Korea,2015,null,63.65
Switzerland,2015,null,63.04
Germany,2015,null,61.4
Ireland,2015,null,61.02
Hungary,2015,null,58.78
Japan,2015,null,55.34
Denmark,2015,null,53.38
Czechia,2015,null,50.51
Belgium,2015,null,49.47
France,2015,null,49.38
Sweden,2015,null,48.92
Slovenia,2015,null,48.65
Netherlands,2015,null,48.19
Slovakia,2015,null,48.19
United Kingdom of Great Britain and Northern Ireland,2015,null,47.37
Norway,2015,null,46.06
Philippines,2015,null,45.95
Austria,2015,null,45.93
Finland,2015,null,44.53
Israel,2015,null,42.81
Italy,2015,null,42.73
Malaysia,2015,null,42.56
China,2015,null,41.38
United States of America,2015,null,41.17
Thailand,2015,null,40.71
Viet Nam,2015,null,40.36
Spain,2015,null,40.24
Iran (Islamic Republic of),2015,null,39.79
Mexico,2015,null,39.76
Trinidad and Tobago,2015,null,39.6
Barbados,2015,null,38.11
Belarus,2015,null,37.99
India,2015,null,37.91
Romania,2015,null,37.85
"China, Hong Kong Special Administrative Region",2015,null,36.06
Poland,2015,null,35.45
Saudi Arabia,2015,null,35.41
Brazil,2015,null,35.16
Indonesia,2015,null,35.08
Venezuela (Bolivarian Republic of),2015,null,34.28
Nigeria,2015,null,33.44
Canada,2015,null,30.57
Ukraine,2015,null,30.36
Bulgaria,2015,null,29.97
Croatia,2015,null,29.94
Turkey,2015,null,29.86
Estonia,2015,null,28.81
Australia,2015,null,28.17
Bahamas,2015,null,27.77
Morocco,2015,null,27.75
Jordan,2015,null,27.37
Cabo Verde,2015,null,27.1
Kuwait,2015,null,27.04
Argentina,2015,null,26
Portugal,2015,null,25.74
Russian Federation,2015,null,25.6
Bermuda,2015,null,25.29
Pakistan,2015,null,24.62
South Africa,2015,null,24.43
Bahrain,2015,null,24.41
Serbia,2015,null,23.91
Lithuania,2015,null,23.14
Costa Rica,2015,null,23.06
Cyprus,2015,null,22.71
Niger,2015,null,22.7
Guatemala,2015,null,22.4
Paraguay,2015,null,21.92
Senegal,2015,null,21.65
Latvia,2015,null,21.52
Syrian Arab Republic,2015,null,21.52
Luxembourg,2015,null,21.26
Zambia,2015,null,21.08
Colombia,2015,null,20.94
Greece,2015,null,20.93
Tunisia,2015,null,20.01
Lebanon,2015,null,19.95
Oman,2015,null,19.92
Malta,2015,null,19.18
El Salvador,2015,null,19.13
Jamaica,2015,null,18.77
Republic of Moldova,2015,null,18.76
Belize,2015,null,18.46
Bosnia and Herzegovina,2015,null,17.55
New Zealand,2015,null,17.25
Kazakhstan,2015,null,16.6
Iceland,2015,null,16.57
Botswana,2015,null,16.51
Ethiopia,2015,null,16.08
Montenegro,2015,null,16.06
Georgia,2015,null,15.71
The former Yugoslav Republic of Macedonia,2015,null,15.35
Uruguay,2015,null,15.29
Côte d'Ivoire,2015,null,14.99
Peru,2015,null,14.72
Egypt,2015,null,14.2
Azerbaijan,2015,null,13.7
Chile,2015,null,13.67
Kenya,2015,null,13.07
United Arab Emirates,2015,null,12.61
Papua New Guinea,2015,null,12.61
Bolivia (Plurinational State of),2015,null,11.67
Suriname,2015,null,11.62
Malawi,2015,null,11.34
Uganda,2015,null,11.07
Mozambique,2015,null,10.89
Ecuador,2015,null,10.27
Afghanistan,2015,null,9.51
Bangladesh,2015,null,9.47
Central African Republic,2015,null,9.25
Algeria,2015,null,9.14
Mauritius,2015,null,8.86
Nepal,2015,null,8.6
Saint Lucia,2015,null,7.83
Cameroon,2015,null,7.61
Eritrea,2015,null,7.58
Namibia,2015,null,7.35
Iraq,2015,null,7.24
Honduras,2015,null,7.16
Fiji,2015,null,7.13
United Republic of Tanzania,2015,null,6.83
Albania,2015,null,6.69
Sri Lanka,2015,null,6.68
Mongolia,2015,null,6.66
Rwanda,2015,null,6.66
Myanmar,2015,null,6.63
"China, Macao Special Administrative Region",2015,null,6.31
Panama,2015,null,6.19
Gabon,2015,null,5.39
Haiti,2015,null,5.26
Kyrgyzstan,2015,null,4.13
Gambia,2015,null,3.9
Angola,2015,null,3.89
Armenia,2015,null,3.66
Madagascar,2015,null,3.56
Brunei Darussalam,2015,null,3.32
Maldives,2015,null,2.63
Burundi,2015,null,2.57
Tajikistan,2015,null,2.49
Congo,2015,null,2.42
State of Palestine,2015,null,2.2
Yemen,2015,null,2.06
Eswatini,2015,null,1.65
Tonga,2015,null,1.61
Ghana,2015,null,0.8
Cambodia,2015,null,0.26