Country,Precipitation,12.2.2 Consumption,9.c.1 3G Coverage,9.b.1 Proportion of Tech Value,9.5.1 research spending per GDP,9.4.1 CO2 Emission,9.2.2 percentage of manufacturing employment,9.2.1. Manufacutring add value,9.1.2 Transportation Volume,8.10.1 number of ATM,8.6.1 not in education or employment,8.4.1 material footprint,8.2.1 Annual growth per employee,8.1.1 Annual Growth Rate,4.b.1 Scholars,4.2.2 Organized Learning,4.1.1 Reading Proficiency,2.2.2 Malnutritiohn,2.1.2 Food insecurities,2.1.1 Undernourishment,Poverty Rate (Goal),Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,CoastlineLength,Date
GBR,"1,220",3317266647,99.6,47.37,1.69,390.07,9.59,3425.85,7.27E+11,131.31,11.1,2897448045,0.7,1.75,?,97.65,82.12,?,12.6,?,0.5,WESTERN EUROPE                     ,60609153,244820,247.6,5.08,2.19,5.16,27700,99.0,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758,12.429,2014
RWA,"1,212",197613484.2,88.01,6.66,?,?,?,39.62,5585309734,11.62,?,71256759.5,5.9,6.23,3.87,?,?,7.7,?,41.1,80.1,SUB-SAHARAN AFRICA                 ,8648248,26338,328.4,0.00,0,91.23,1300,70.4,2.7,40.54,12.16,47.3,3,40.37,16.09,0.401,0.229,0.37,0,2014
GHA,"1,187",1070862472,80,0.8,?,14.94,14,91.02,13225549814,17.31,?,193752133.2,1.3,1.5,6.42,?,?,?,74.7,7.6,24.5,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,0.23,-0.64,51.43,2200,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387,539,2014
MWI,"1,181",345566965.5,32,11.34,?,?,?,55.41,4792415671,8.11,?,42305011.62,-0.5,-0.15,1.98,?,?,4.5,?,25.9,72.8,SUB-SAHARAN AFRICA                 ,13013926,118480,109.8,0.00,0,103.32,600,62.7,7.9,23.38,1.49,75.13,2,43.13,19.33,0.342,0.158,0.499,0,2014
UGA,"1,180",710392896,60,11.07,?,?,?,65.07,19448639917,7.34,?,202436246.1,1.2,2.22,5.63,?,?,?,?,39,64.1,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,0.00,0,67.83,1400,69.9,3.6,25.88,10.65,63.47,2,47.35,12.24,0.311,0.222,0.469,0,2014
TGO,"1,168",176790097,50,?,?,2.68,?,51.53,2827015465,5.21,?,37690876.95,2.5,3.06,1.66,?,?,?,97.2,11.5,55.6,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,0.10,0,66.61,1500,60.9,10.6,46.15,2.21,51.64,2,37.01,9.83,0.395,0.204,0.401,56,2014
SVN,"1,162",174156134.1,99.5,48.65,2.2,13.22,23.4,4344.61,38545457984,126.59,9.5,91120975.78,2.1,2.06,?,93.99,84.86,?,?,?,0,EASTERN EUROPE                     ,2010347,20273,99.2,0.23,1.12,4.45,19000,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,0.028,0.369,0.603,46.6,2014
NGA,"1,150",3761042389,66.6,33.44,?,64.67,?,251.32,2.67E+11,21.62,?,881625626.8,-0.4,-0.02,5.14,?,?,7.2,73.5,7.9,62.8,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,0.09,0.26,98.8,900,68.0,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.269,0.487,0.244,853,2014
BOL,"1,146",596534135.8,27,11.67,?,19.22,10.47,269.61,41113810726,53.62,14.6,86311991.41,10.3,3.27,1.17,86.11,?,?,?,20.2,33.8,LATIN AMER. & CARIB    ,8989046,1098580,8.2,0.00,-1.32,53.11,2400,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52,0,2014
PRY,"1,130",307393181.8,66,21.92,0.13,5.85,12.42,432.71,27783368574,35.53,16.8,139003574.4,0.4,1.62,0.92,?,?,?,?,12,13.2,LATIN AMER. & CARIB    ,6506464,406750,16.0,0.00,-0.08,25.63,4700,94.0,49.2,7.6,0.23,92.17,2,29.1,4.49,0.224,0.207,0.569,0,2014
IRL,"1,118",387701437,95,61.02,?,35.49,11.36,19109.16,74812992059,119.85,14.3,201201203.4,23.6,25.19,?,91.41,89.81,?,11.7,?,0.7,WESTERN EUROPE                     ,4062235,70280,57.8,2.06,4.99,5.39,29600,98.0,500.5,15.2,0.03,84.77,3,14.45,7.82,0.05,0.46,0.49,1.448,2014
HRV,"1,113",174754808.6,99.06,29.94,0.85,15.95,16.63,1707.62,56649333183,157,18.1,105293896.6,-0.2,2.87,?,96.68,80.13,?,2.1,?,1.2,EASTERN EUROPE                     ,4494749,56542,79.5,10.32,1.58,6.84,10600,98.5,420.4,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622,6.268,2014
AUT,"1,110",829128805.8,98,45.93,3.03,62.44,15.98,8478.79,1.07E+11,131.75,7.5,533641262.8,0.6,0.43,?,?,77.46,?,?,?,0.7,WESTERN EUROPE                     ,8192880,83870,97.7,0.00,2,4.66,30000,98.0,452.2,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678,0,2014
IND,"1,083",42074345091,74,37.91,0.62,2067.72,?,300.01,1.70E+13,33.25,?,11633852314,6.2,6.76,15.47,?,?,21,?,14.5,38.2,ASIA (EX. NEAR EAST)         ,1095351995,3287590,333.2,0.21,-0.07,56.29,2900,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538,7.000,2014
TZA,"1,071",1011825264,85,6.83,?,12.19,?,60.36,26157151052,8.46,?,148930499.1,3.6,3.77,7.67,?,?,4.5,?,32.3,86,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,0.15,-2.06,98.54,600,78.2,4.0,4.52,1.08,94.4,,37.71,16.39,0.432,0.172,0.396,1.424,2014
PRK,"1,054",578349413,?,?,?,27.25,?,138.08,?,?,?,50280829.69,-1.5,-1.64,0.88,?,?,?,?,40.8,60.8,ASIA (EX. NEAR EAST)         ,23113019,120540,191.8,2.07,0,24.04,1300,99.0,42.4,20.76,2.49,76.75,3,15.54,7.13,0.3,0.34,0.36,2.495,2014
BEN,"1,039",321244701.8,45,?,?,5.9,?,121.53,4909453416,8.25,?,91416183.82,-1,2.13,1.94,?,?,?,?,10.3,56.9,SUB-SAHARAN AFRICA                 ,7862944,112620,69.8,0.11,0,85,1100,40.9,9.7,18.08,2.4,79.52,2,38.85,12.22,0.316,0.138,0.546,121,2014
MOZ,"1,032",405517267,50,10.89,0.34,5.61,4.06,53.73,7714508639,14.39,?,108290331.4,3.4,3.56,2.63,?,?,?,?,26.6,80.6,SUB-SAHARAN AFRICA                 ,19686505,801590,24.6,0.31,0,130.79,1200,47.8,3.5,5.1,0.3,94.6,2,35.18,21.35,0.262,0.348,0.39,2.470,2014
ATG,"1,030",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,69108,443,156.0,34.54,-6.15,19.46,11000,89.0,549.9,18.18,4.55,77.27,2,16.93,5.37,0.038,0.22,0.743,153,2014
BIH,"1,028",227340607.6,96,17.55,0.22,23.78,?,620.4,11401925127,80.32,27.7,55692600.79,2.4,3.95,2,?,?,?,4.2,?,0.3,EASTERN EUROPE                     ,4498976,51129,88.0,0.04,0.31,21.05,6100,,215.4,13.6,2.96,83.44,4,8.77,8.27,0.142,0.308,0.55,20,2014
GEO,"1,026",149436800.2,99,15.71,0.32,9.53,?,407.47,7619000000,102.2,?,67713639.72,2.2,3.94,3.43,?,48.34,?,?,7,21,C.W. OF IND. STATES ,4661473,69700,66.9,0.44,-4.7,18.59,2500,99.0,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553,310,2014
ZMB,"1,020",630927381.7,53,21.08,?,3.6,?,139.35,10723273791,15.6,?,114730067.5,-0.6,-0.14,2.76,?,?,?,?,45.9,64.4,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,0.00,0,88.29,800,80.6,8.2,7.08,0.03,92.9,2,41,19.93,0.22,0.29,0.489,0,2014
AGO,"1,010",807738109,100,3.89,?,20.77,?,274.94,68891214902,29.27,?,180696882.2,-0.6,-2.47,1.83,?,?,?,?,14,33.5,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.7,0.13,0,191.19,1900,42.0,7.8,2.41,0.24,97.35,,45.11,24.2,0.096,0.658,0.246,1.600,2014
LUX,934,98281457.91,99,21.26,1.29,9.29,4.6,5591.85,11369833395,185.17,6.2,116451668.4,2.1,0.97,?,99.04,74.36,?,6,?,0.2,WESTERN EUROPE                     ,474413,2586,183.5,0.00,8.97,4.81,55100,100.0,515.4,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86,0,2014
COM,900,15060794.77,?,?,?,?,?,23.87,441710620.7,7.74,?,?,-2.1,-2.52,4.82,?,?,?,?,?,19.1,SUB-SAHARAN AFRICA                 ,690948,2170,318.4,15.67,0,74.93,700,56.5,24.5,35.87,23.32,40.81,2,36.93,8.2,0.4,0.04,0.56,340,2014
FRA,867,4774640709,99,49.38,2.22,290.74,12.21,4425.9,9.90E+11,144.51,11.9,2763047564,1,0.64,?,99.76,78.51,?,4.2,?,0,WESTERN EUROPE                     ,60876136,547030,111.3,0.63,0.66,4.26,27600,99.0,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764,4.853,2014
PRT,854,568087237.5,99.1,25.74,1.27,47.39,16.91,2678.15,1.24E+11,223.47,11.3,346062394.7,0.5,2.34,?,95.92,82.95,?,12.3,?,1,WESTERN EUROPE                     ,10605870,92391,114.8,1.94,3.57,5.05,18000,93.3,399.2,21.75,7.81,70.44,3,10.72,10.5,0.053,0.274,0.673,1.793,2014
ETH,848,1763058911,71,16.08,?,11.9,?,26.33,43864563954,?,?,?,6.9,7.62,7.01,38,?,?,?,28.8,42.8,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,0.00,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426,0,2014
BEL,847,1130768529,100,49.47,2.45,92.91,12.95,6248.78,1.37E+11,101.1,12.2,512913026.5,1.1,0.79,?,99.18,80.47,?,?,?,0.2,WESTERN EUROPE                     ,10379067,30528,340.0,0.22,1.23,4.68,29100,98.0,462.6,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,0.749,66.5,2014
GMB,836,29543616.39,86,3.9,?,?,?,30.91,1415916598,9.03,?,9368361.26,1.4,1.19,0.99,?,?,?,?,10.9,47.1,SUB-SAHARAN AFRICA                 ,1641564,11300,145.3,0.71,1.57,72.02,1700,40.1,26.8,25,0.5,74.5,2,39.37,12.25,0.308,0.142,0.549,80,2014
ITA,832,2772571772,100,42.73,1.33,331.03,18.35,4995.34,9.88E+11,145.82,21.3,2293678170,0.2,1.14,?,98.45,79.07,?,3,?,1.4,WESTERN EUROPE                     ,58133509,301230,193.0,2.52,2.07,5.94,26700,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688,7.600,2014
SVK,824,342532208.4,93,48.19,1.18,29.93,24.68,4292.35,69771000000,87.79,13.7,469571856,1.2,3.73,?,?,67.9,?,3.3,3.1,0.7,EASTERN EUROPE                     ,5439448,48845,111.4,0.00,0.3,7.41,13300,,220.1,30.16,2.62,67.22,3,10.65,9.45,0.035,0.294,0.672,0,2014
SWZ,788,75833441.61,21,1.65,?,?,?,1393.14,733989944.7,37.81,?,25734521.22,-1.7,2.31,1.04,?,?,?,?,19.6,48.4,SUB-SAHARAN AFRICA                 ,1136334,17363,65.5,0.00,0,69.27,4900,81.6,30.8,10.35,0.7,88.95,2.5,27.41,29.74,0.119,0.515,0.366,0,2014
LSO,788,151479388,95.6,?,0.05,?,?,119.06,962241068.7,12.72,?,49780036.38,6.9,4.21,0.83,38.02,?,?,?,14.5,61.3,SUB-SAHARAN AFRICA                 ,2022331,30355,66.6,0.00,-0.74,84.23,3000,84.8,23.7,10.87,0.13,89,3,24.75,28.71,0.163,0.443,0.394,0,2014
NLD,778,1498285337,99,48.19,1.99,156.42,9.45,5455.55,1.93E+11,63.66,4.7,876826492.8,0.8,1.96,?,99.54,81.94,?,4.2,?,0.2,WESTERN EUROPE                     ,16491461,41526,397.1,1.09,2.91,5.04,28600,99.0,460.8,26.71,0.97,72.32,3,10.9,8.68,0.021,0.244,0.736,451,2014
MEX,752,5535257172,89,39.76,0.55,442.84,16.04,1640.28,1.50E+12,65.17,19.8,2101372018,-0.1,1.9,7.96,99.36,58.26,5.2,9.9,4.2,14.8,LATIN AMER. & CARIB    ,107449525,1972550,54.5,0.47,-4.87,20.91,9000,92.2,181.6,12.99,1.31,85.7,1.5,20.69,4.74,0.038,0.259,0.702,9.330,2014
BFA,748,438834094.9,10,?,0.22,?,?,44.18,8632431177,6.37,?,138083482.6,0.6,0.88,1.32,9.41,?,?,57.3,20.2,57.3,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7,0.00,0,97.57,1100,26.6,7.0,14.43,0.19,85.38,2,45.62,15.6,0.322,0.196,0.482,0,2014
USA,715,37096605672,99.9,41.17,2.78,4998.01,10.96,6027.48,1.01E+13,33.03,?,19702774863,1,2.15,?,86.76,80.97,?,3,?,1.3,NORTHERN AMERICA                   ,298444215,9631420,31.0,0.21,3.41,6.5,37800,97.0,898.0,19.13,0.22,80.65,3,14.14,8.26,0.01,0.204,0.787,19.924,2014
DNK,703,573725154.6,99.99,53.38,2.96,32.17,11.94,7363.4,66544000000,76.51,6.2,274717079.1,0.6,1.16,?,96.08,85,?,2.4,?,0.5,WESTERN EUROPE                     ,5450661,43094,126.5,16.97,2.48,4.56,31100,100.0,614.6,54.02,0.19,45.79,3,11.13,10.36,0.018,0.246,0.735,7.314,2014
DEU,700,7401347542,95.7,61.4,2.86,730.1,19.3,9505.98,1.34E+12,135.07,6.2,3538513944,1.2,1.47,?,?,84.02,?,3,?,0,WESTERN EUROPE                     ,82422299,357021,230.9,0.67,2.18,4.16,27600,99.0,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695,2.389,2014
TJK,691,165581905.6,60,2.49,0.11,4.52,?,86.31,3153779099,?,?,60807138.17,3.5,3.66,1.97,11.2,?,?,9.9,30.1,30.8,C.W. OF IND. STATES ,7320815,143100,51.2,0.00,-2.86,110.76,1000,99.4,33.5,6.61,0.92,92.47,2,32.65,8.25,0.234,0.286,0.48,0,2014
SEN,686,292121052.7,40,21.65,?,7.46,6.15,141.69,11390173966,10.26,36.2,73229527.53,1.5,3.71,5.95,17.42,?,7.8,?,11.3,51.1,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,0.27,0.2,55.51,1600,40.2,22.2,12.78,0.21,87.01,2,32.78,9.42,0.172,0.209,0.619,531,2014
CZE,677,1094697566,99,50.51,1.93,100.09,27.31,4952.59,1.33E+11,74.4,7.5,?,3.3,5.26,?,?,77.05,?,2.7,?,0,EASTERN EUROPE                     ,10235455,78866,129.8,0.00,0.97,3.93,15700,99.9,314.3,39.8,3.05,57.15,3,9.02,10.59,0.034,0.393,0.573,0,2014
LBN,661,354140845,97,19.95,?,23.32,?,602.72,43615025125,62.93,?,172829057.6,-3.5,-3.46,2.53,93.56,29.63,?,?,5.4,0.1,NEAR EAST                          ,3874050,10400,372.5,2.16,0,24.52,4800,87.4,255.6,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67,225,2014
ZWE,657,307621973,55.1,?,?,12.97,?,97.67,2949306366,11.32,?,19620654.59,-1.2,-0.93,3.21,?,?,5.6,?,44.7,69.4,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,0.00,0,67.69,1900,90.7,26.8,8.32,0.34,91.34,2,28.01,21.84,0.179,0.243,0.579,0,2014
LTU,656,256982388.2,99.98,23.14,1.04,10.8,15.19,2795.01,59189000000,63.57,9.2,197641520.8,0.8,3.08,?,99.6,74.9,?,6.9,?,2.7,BALTICS                            ,3585906,65200,55.0,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62,90,2014
GRC,652,782041156.6,99.3,20.93,0.96,65.14,9.26,1662.24,1.18E+11,85.48,17.2,557947702,-2.2,0.13,?,93.84,72.68,?,7.8,?,1.5,WESTERN EUROPE                     ,10688058,131940,81.0,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733,13.676,2014
CHN,645,1.99E+11,95,41.38,2.06,9042.2,?,2048.16,1.18E+13,85.28,?,51607888043,6.9,6.37,17.51,?,78.11,?,?,9.6,38.3,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403,14.500,2014
LVA,641,192667703.5,95,21.52,0.63,7.18,12.98,1653.66,31136022176,81.09,10.5,85447883.9,1.6,4.05,?,99.71,82.32,?,1.8,?,2.5,BALTICS                            ,2274735,64589,35.2,0.82,-2.23,9.55,10200,99.8,321.4,29.67,0.47,69.86,3,9.24,13.66,0.04,0.261,0.699,498,2014
ROU,637,1385635395,99.9,37.85,0.49,70.04,18.18,1770.62,1.14E+11,97.25,18.1,637645975.4,5.1,4.44,?,90.52,61.29,?,?,?,7.5,EASTERN EUROPE                     ,22303552,237500,93.9,0.09,-0.13,26.43,7000,98.4,196.9,40.82,2.25,56.93,3,10.7,11.77,0.101,0.35,0.549,225,2014
ESP,636,2471227237,99.4,40.24,1.22,247.32,12.45,3863.49,3.81E+11,184.28,15.6,1999679925,0.6,3.71,?,96.79,83.75,?,3.3,?,1.2,WESTERN EUROPE                     ,40397842,504782,80.0,0.98,0.99,4.42,22000,97.9,453.5,26.07,9.87,64.06,3,10.06,9.72,0.04,0.295,0.665,4.964,2014
KEN,630,906789548.8,69,13.07,?,14.88,?,124.98,22394960361,15.46,?,282138015.4,2.4,3,7.93,?,?,?,?,19.1,42.8,SUB-SAHARAN AFRICA                 ,34707817,582650,59.6,0.09,-0.1,61.47,1000,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651,536,2014
EST,626,262891586.8,100,28.81,1.49,16.07,18.82,2646.9,19021896228,83.75,10.8,73438788.98,-1,1.91,?,93.03,89.36,?,0.9,?,2.5,BALTICS                            ,1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666,3.794,2014
SWE,624,975961961.5,99.99,48.92,3.25,37.24,10.41,8223.79,1.64E+11,59.86,6.8,464729998.5,3,3.73,?,98.14,81.57,?,2.4,?,0.9,WESTERN EUROPE                     ,9016596,449964,20.0,0.72,1.67,2.77,26800,99.0,715.0,6.54,0.01,93.45,3,10.27,10.31,0.011,0.282,0.707,3.218,2014
MKD,619,162752499.1,98.07,15.35,0.44,8.16,19.43,677.94,19851000000,85.36,24.7,?,1.5,3.77,1.71,44.44,29.32,?,?,3.9,12.2,EASTERN EUROPE                     ,2050554,25333,80.9,0.00,-1.45,10.09,6700,,260.0,22.26,1.81,75.93,3,12.02,8.77,0.118,0.319,0.563,0,2014
BLR,618,963556013.1,95.7,37.99,0.5,53.83,?,1483.72,89200751886,56.36,?,1799659.06,-3.7,-3.84,9.85,98.23,?,?,1.8,?,7.1,C.W. OF IND. STATES ,10293011,207600,49.6,0.00,2.54,13.37,6100,99.6,319.1,29.55,0.6,69.85,4,11.16,14.02,0.093,0.316,0.591,0,2014
BGR,608,774545657.9,99.95,29.97,0.96,44.65,19.71,971.77,52007081782,152.71,19.3,170553486.9,1.8,4.26,?,92.79,58.53,?,?,3.4,5.5,EASTERN EUROPE                     ,7385367,110910,66.6,0.32,-4.58,20.55,7600,98.6,336.3,40.02,1.92,58.06,3,9.65,14.27,0.093,0.304,0.603,354,2014
POL,600,3997107330,100,35.45,1,282.98,19.32,2542.89,5.79E+11,99.62,11,1280428436,2.5,3.92,?,99.5,85.59,?,?,?,0.1,EASTERN EUROPE                     ,38536869,312685,123.3,0.16,-0.49,8.51,11100,99.8,306.3,45.91,1.12,52.97,3,9.85,9.89,0.05,0.311,0.64,440,2014
TUR,593,8342330691,95.03,29.86,?,317.69,18.66,1838.09,8.61E+11,98.55,23.9,2432120413,2.6,4.4,9.28,68.6,60.02,?,?,?,3.7,NEAR EAST                          ,70413958,780580,90.2,0.92,0,41.04,6700,86.5,269.5,30.93,3.31,65.76,3,16.62,5.97,0.117,0.298,0.585,7.200,2014
ARG,591,2757896576,90,26,0.63,192.15,?,1584.81,8.63E+11,73.72,?,966787814.4,1,1.62,3.68,99.37,58.25,?,?,3.6,14,LATIN AMER. & CARIB    ,39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547,4.989,2014
HUN,589,1070902983,99,58.78,1.36,42.88,21.41,2779.41,1.14E+11,72.37,11.6,280531445.6,0.2,3.68,?,93.76,72.52,?,3.6,?,0.7,EASTERN EUROPE                     ,9981334,93030,107.3,0.00,0.86,8.57,13900,99.4,336.2,50.09,2.06,47.85,3,9.72,13.11,0.037,0.312,0.651,0,2014
ARM,562,155217578.2,99.9,3.66,0.25,5.16,7.85,408.32,3175257623,83.96,35.6,44813216.93,5,2.86,3.53,?,?,?,8.1,4.4,19.3,C.W. OF IND. STATES ,2976372,29800,99.9,0.00,-6.47,23.28,3500,98.6,195.7,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418,0,2014
MLT,560,40855491.68,100,19.18,0.73,1.77,12.42,2036.69,9308191586,95.5,10.4,21994650.13,5.4,6.55,?,97.16,64.45,?,?,?,0.5,WESTERN EUROPE                     ,400214,316,1266.5,62.28,2.07,3.89,17700,92.8,505.0,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74,252.81,2014
CAN,537,6011423619,99.3,30.57,?,549.88,9.54,5065.38,4.57E+11,244.18,10.3,2469772270,0.1,-0.03,?,?,89.32,?,1.8,?,0.4,NORTHERN AMERICA                   ,33098932,9984670,3.3,2.02,5.96,4.75,29800,97.0,552.2,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684,202.080,2014
FIN,536,804184365.6,99.9,44.53,2.9,42.45,13.47,6598.58,65262000000,39.83,10.6,387505032.3,0.8,-0.41,?,97.56,88.91,?,?,?,0,WESTERN EUROPE                     ,5231372,338145,15.5,0.37,0.95,3.57,27400,100.0,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676,1.250,2014
AUS,534,4870936459,99,28.17,?,381.62,8.23,4070.5,5.19E+11,192.74,9.8,2020539986,0.6,1.36,?,87.03,82.17,?,8.4,?,1,OCEANIA                            ,20264082,7686850,2.6,0.34,3.98,4.69,29000,100.0,565.5,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7,25.760,2014
KGZ,533,288673175.9,59,4.13,0.12,12.27,7.39,150.52,2979820381,38.35,21.4,93530755.38,2.2,2.27,3.35,69.48,?,?,?,6.4,42.2,C.W. OF IND. STATES ,5213898,198500,26.3,0.00,-2.45,35.64,1600,97.0,84.0,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439,0,2014
CYP,498,73783249.63,90.01,22.71,0.45,6.66,7.79,814.89,6176338099,87.37,15.3,46318821.87,0.3,2.64,?,94.59,?,?,?,4.7,0,NEAR EAST                          ,784301,9250,84.8,7.01,0.43,7.18,19200,97.6,,7.79,4.44,87.77,3,12.56,7.68,0.037,0.198,0.765,648,2014
ZAF,495,3691860607,98,24.43,?,429.17,11.2,949.98,5.30E+11,79.82,30.5,937768579.2,-2.3,-0.08,8.3,?,?,?,?,4.6,32.6,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,0.23,-0.29,61.81,10700,86.4,107.0,12.08,0.79,87.13,1,18.2,22,0.025,0.303,0.671,2.798,2014
PAK,494,5050107417,46,24.62,0.25,147.65,15.52,154.72,64018773985,18.79,30.4,1192135872,2.2,2.59,14.45,?,?,?,?,19.9,28.6,ASIA (EX. NEAR EAST)         ,165803560,803940,206.2,0.13,-2.77,72.44,2100,45.7,31.8,27.87,0.87,71.26,1,29.74,8.23,0.216,0.251,0.533,1.046,2014
RUS,460,13478961990,73,25.6,1.1,1470.23,14.3,1520.42,3.41E+11,205.51,12,2724866151,-2.2,-2.91,?,95.33,83.76,?,?,?,2.8,C.W. OF IND. STATES ,142893540,17075200,8.4,0.22,1.02,15.39,8900,99.6,280.6,7.33,0.11,92.56,,9.95,14.65,0.054,0.371,0.575,37.653,2014
