Precipitation,Poverty Rate Goal,Population,Area sq mi,Pop Density per sq mi,Arable ,Climate,CoastlineLength
3200.0,upperHalf,193413.0,1001.0,193.2,6.25,2.0,?
3.142,upperHalf,5670544.0,462840.0,12.3,0.46,2.0,5.152
3.028,upperHalf,552438.0,28450.0,19.4,0.64,2.0,5.313
2.926,lowerHalf,4075261.0,51100.0,79.8,4.41,2.0,1.29
2.875,lowerHalf,24385858.0,329750.0,74.0,5.48,2.0,4.675
2.702,upperHalf,245452739.0,1919440.0,127.9,11.32,2.0,54.716
2.692,upperHalf,3191319.0,78200.0,40.8,7.36,2.0,2.49
2.666,upperHalf,147365352.0,144000.0,1023.4,62.11,2.0,580.0
2.612,upperHalf,43593035.0,1138910.0,38.3,2.42,2.0,3.208
2.592,lowerHalf,905949.0,18270.0,49.6,10.95,2.0,1.129
2.526,upperHalf,6005250.0,71740.0,83.7,6.98,2.0,402.0
2.391,upperHalf,3042004.0,111370.0,27.3,3.95,2.0,579.0
2.391,upperHalf,5570129.0,129494.0,43.0,15.94,2.0,910.0
2.348,upperHalf,89468677.0,300000.0,298.2,18.95,2.0,36.289
2.33,lowerHalf,81541.0,455.0,179.2,2.22,2.0,491.0
2.2,upperHalf,2279723.0,47000.0,48.5,3.09,2.0,0.0
2.156,lowerHalf,540109.0,28051.0,19.3,4.63,2.0,296.0
2.091,upperHalf,47382633.0,678500.0,69.8,15.19,2.0,1.93
2.087,upperHalf,13547510.0,283560.0,47.8,5.85,2.0,2.237
2.051,lowerHalf,2758124.0,10991.0,250.9,16.07,2.0,1.022
2.041,lowerHalf,1240827.0,2040.0,608.3,49.26,2.0,177.0
1.996,lowerHalf,12293545.0,108890.0,112.9,12.54,2.0,400.0
1.976,upperHalf,7326496.0,112090.0,65.4,9.55,2.0,832.0
1.972,lowerHalf,359008.0,300.0,1196.7,13.33,2.0,644.0
1.94,lowerHalf,299388.0,103000.0,2.9,0.07,3.0,4.97
1.904,upperHalf,13881427.0,181040.0,76.7,20.96,2.0,443.0
1.875,upperHalf,25730435.0,912050.0,28.2,2.95,2.0,2.8
1.875,lowerHalf,46710816.0,603700.0,77.4,56.21,3.0,2.782
1.834,upperHalf,6368481.0,236800.0,26.9,3.8,2.0,0.0
1.831,lowerHalf,1424906.0,267667.0,5.3,1.26,2.0,885.0
1.821,upperHalf,84402966.0,329560.0,256.1,19.97,2.0,3.444
1.782,lowerHalf,188078227.0,8511965.0,22.1,6.96,2.0,7.491
1.738,upperHalf,28302603.0,1285220.0,22.0,2.89,1.5,2.414
1.724,upperHalf,6822378.0,21040.0,324.3,31.85,2.0,307.0
1.712,lowerHalf,20222240.0,65610.0,308.2,13.86,2.0,1.34
1.668,lowerHalf,127463611.0,377835.0,337.4,12.19,3.0,29.751
1.651,upperHalf,9690222.0,245857.0,39.4,3.63,2.0,320.0
1.646,upperHalf,3702314.0,342000.0,10.8,0.51,2.0,169.0
1.622,lowerHalf,64631595.0,514000.0,125.7,29.36,2.0,3.219
1.604,upperHalf,17340702.0,475440.0,36.5,12.81,1.5,402.0
1.577,upperHalf,1442029.0,36120.0,39.9,10.67,2.0,350.0
1.543,upperHalf,62660551.0,2345410.0,26.7,2.96,2.0,37.0
1.537,lowerHalf,7523934.0,41290.0,182.2,10.42,3.0,0.0
1.522,lowerHalf,16134219.0,756950.0,21.3,2.65,3.0,6.435
1.513,upperHalf,18595469.0,587040.0,31.7,5.07,2.0,4.828
1.5,upperHalf,1062777.0,15007.0,70.8,4.71,2.0,706.0
1.5,upperHalf,28287147.0,147181.0,192.2,21.68,,0.0
1.485,lowerHalf,3581655.0,28748.0,124.6,21.09,3.0,362.0
1.44,upperHalf,8308504.0,27750.0,299.4,28.3,2.0,1.771
1.414,lowerHalf,4610820.0,323802.0,14.2,2.87,3.0,25.148
1.41,lowerHalf,9183984.0,48730.0,188.5,22.65,2.0,1.288
1.348,upperHalf,17654843.0,322460.0,54.8,9.75,2.0,515.0
1.343,upperHalf,4303356.0,622984.0,6.9,3.1,2.0,0.0
1.335,lowerHalf,11382820.0,110860.0,102.7,33.05,2.0,3.735
1.274,lowerHalf,48846823.0,98480.0,496.0,17.18,3.0,2.413
1.274,upperHalf,8090068.0,27830.0,290.7,35.05,2.0,0.0
1.265,lowerHalf,3431932.0,176220.0,19.5,7.43,3.0,660.0
1.22,lowerHalf,60609153.0,244820.0,247.6,23.46,3.0,12.429
1.212,upperHalf,8648248.0,26338.0,328.4,40.54,3.0,0.0
1.187,upperHalf,22409572.0,239460.0,93.6,16.26,2.0,539.0
1.181,upperHalf,13013926.0,118480.0,109.8,23.38,2.0,0.0
1.18,upperHalf,28195754.0,236040.0,119.5,25.88,2.0,0.0
1.168,upperHalf,5548702.0,56785.0,97.7,46.15,2.0,56.0
1.162,lowerHalf,2010347.0,20273.0,99.2,8.6,,46.6
1.15,upperHalf,131859731.0,923768.0,142.7,31.29,1.5,853.0
1.146,upperHalf,8989046.0,1098580.0,8.2,2.67,1.5,0.0
1.13,lowerHalf,6506464.0,406750.0,16.0,7.6,2.0,0.0
1.118,lowerHalf,4062235.0,70280.0,57.8,15.2,3.0,1.448
1.113,lowerHalf,4494749.0,56542.0,79.5,26.09,,6.268
1.11,lowerHalf,8192880.0,83870.0,97.7,16.91,3.0,0.0
1.083,upperHalf,1095351995.0,3287590.0,333.2,54.4,2.5,7.0
1.071,upperHalf,37445392.0,945087.0,39.6,4.52,,1.424
1.054,upperHalf,23113019.0,120540.0,191.8,20.76,3.0,2.495
1.039,upperHalf,7862944.0,112620.0,69.8,18.08,2.0,121.0
1.032,upperHalf,19686505.0,801590.0,24.6,5.1,2.0,2.47
1.028,lowerHalf,4498976.0,51129.0,88.0,13.6,4.0,20.0
1.026,upperHalf,4661473.0,69700.0,66.9,11.44,3.0,310.0
1.02,upperHalf,11502010.0,752614.0,15.3,7.08,2.0,0.0
1.01,upperHalf,12127071.0,1246700.0,9.7,2.41,,1.6
934.0,lowerHalf,474413.0,2586.0,183.5,23.28,,0.0
900.0,upperHalf,690948.0,2170.0,318.4,35.87,2.0,340.0
867.0,lowerHalf,60876136.0,547030.0,111.3,33.53,4.0,4.853
854.0,lowerHalf,10605870.0,92391.0,114.8,21.75,3.0,1.793
848.0,upperHalf,74777981.0,1127127.0,66.3,10.71,2.0,0.0
847.0,lowerHalf,10379067.0,30528.0,340.0,23.28,3.0,66.5
836.0,upperHalf,1641564.0,11300.0,145.3,25.0,2.0,80.0
832.0,lowerHalf,58133509.0,301230.0,193.0,27.79,,7.6
824.0,lowerHalf,5439448.0,48845.0,111.4,30.16,3.0,0.0
788.0,upperHalf,1136334.0,17363.0,65.5,10.35,2.5,0.0
788.0,upperHalf,2022331.0,30355.0,66.6,10.87,3.0,0.0
778.0,lowerHalf,16491461.0,41526.0,397.1,26.71,3.0,451.0
752.0,upperHalf,107449525.0,1972550.0,54.5,12.99,1.5,9.33
748.0,upperHalf,13902972.0,274200.0,50.7,14.43,2.0,0.0
715.0,lowerHalf,298444215.0,9631420.0,31.0,19.13,3.0,19.924
703.0,lowerHalf,5450661.0,43094.0,126.5,54.02,3.0,7.314
700.0,lowerHalf,82422299.0,357021.0,230.9,33.85,3.0,2.389
691.0,upperHalf,7320815.0,143100.0,51.2,6.61,2.0,0.0
686.0,upperHalf,11987121.0,196190.0,61.1,12.78,2.0,531.0
677.0,lowerHalf,10235455.0,78866.0,129.8,39.8,3.0,0.0
661.0,lowerHalf,3874050.0,10400.0,372.5,16.62,,225.0
657.0,upperHalf,12236805.0,390580.0,31.3,8.32,2.0,0.0
656.0,lowerHalf,3585906.0,65200.0,55.0,45.22,,90.0
652.0,lowerHalf,10688058.0,131940.0,81.0,21.1,3.0,13.676
645.0,upperHalf,1313973713.0,9596960.0,136.9,15.4,1.5,14.5
641.0,lowerHalf,2274735.0,64589.0,35.2,29.67,3.0,498.0
637.0,lowerHalf,22303552.0,237500.0,93.9,40.82,3.0,225.0
636.0,lowerHalf,40397842.0,504782.0,80.0,26.07,3.0,4.964
630.0,upperHalf,34707817.0,582650.0,59.6,8.08,1.5,536.0
626.0,lowerHalf,1324333.0,45226.0,29.3,16.04,3.0,3.794
624.0,lowerHalf,9016596.0,449964.0,20.0,6.54,3.0,3.218
619.0,lowerHalf,2050554.0,25333.0,80.9,22.26,3.0,0.0
618.0,lowerHalf,10293011.0,207600.0,49.6,29.55,4.0,0.0
608.0,lowerHalf,7385367.0,110910.0,66.6,40.02,3.0,354.0
600.0,lowerHalf,38536869.0,312685.0,123.3,45.91,3.0,440.0
593.0,lowerHalf,70413958.0,780580.0,90.2,30.93,3.0,7.2
591.0,lowerHalf,39921833.0,2766890.0,14.4,12.31,3.0,4.989
589.0,lowerHalf,9981334.0,93030.0,107.3,50.09,3.0,0.0
562.0,upperHalf,2976372.0,29800.0,99.9,17.55,4.0,0.0
560.0,lowerHalf,400214.0,316.0,1266.5,28.13,,252.81
537.0,lowerHalf,33098932.0,9984670.0,3.3,4.96,,202.08
536.0,lowerHalf,5231372.0,338145.0,15.5,7.19,3.0,1.25
534.0,lowerHalf,20264082.0,7686850.0,2.6,6.55,1.0,25.76
533.0,upperHalf,5213898.0,198500.0,26.3,7.3,2.5,0.0
498.0,lowerHalf,784301.0,9250.0,84.8,7.79,3.0,648.0
495.0,upperHalf,44187637.0,1219912.0,36.2,12.08,1.0,2.798
494.0,upperHalf,165803560.0,803940.0,206.2,27.87,1.0,1.046
460.0,lowerHalf,142893540.0,17075200.0,8.4,7.33,,37.653
450.0,upperHalf,4466706.0,33843.0,132.0,55.3,,0.0
447.0,lowerHalf,7961619.0,86600.0,91.9,19.63,1.0,0.0
435.0,lowerHalf,6352117.0,20770.0,305.8,16.39,3.0,273.0
416.0,upperHalf,41236378.0,2505810.0,16.5,6.83,2.0,853.0
416.0,upperHalf,1639833.0,600370.0,2.7,0.65,1.0,0.0
384.0,upperHalf,4786994.0,121320.0,39.5,4.95,1.5,2.234
346.0,lowerHalf,33241259.0,446550.0,74.4,19.61,,1.835
327.0,upperHalf,31056997.0,647500.0,48.0,12.13,1.0,0.0
322.0,upperHalf,9944201.0,1284000.0,7.7,2.86,2.0,0.0
285.0,upperHalf,2044147.0,825418.0,2.5,0.99,1.0,1.572
282.0,upperHalf,8863338.0,637657.0,13.9,1.67,1.0,3.025
282.0,upperHalf,11716829.0,1240000.0,9.5,3.82,2.0,0.0
252.0,lowerHalf,18881361.0,185180.0,102.0,25.22,1.0,193.0
250.0,lowerHalf,15233244.0,2717300.0,5.6,7.98,4.0,0.0
241.0,lowerHalf,2832224.0,1564116.0,1.8,0.77,1.0,0.0
228.0,upperHalf,420979.0,4033.0,104.4,9.68,3.0,965.0
228.0,lowerHalf,68688433.0,1648000.0,41.7,8.72,1.0,2.44
220.0,upperHalf,486530.0,23000.0,21.2,0.04,1.0,314.0
216.0,lowerHalf,26783383.0,437072.0,61.3,13.15,1.0,58.0
207.0,lowerHalf,10175014.0,163610.0,62.2,17.86,3.0,1.148
206.0,upperHalf,27307134.0,447400.0,61.0,10.83,1.0,0.0
167.0,upperHalf,21456188.0,527970.0,40.6,2.78,1.0,1.906
151.0,upperHalf,12525094.0,1267000.0,9.9,3.54,1.0,0.0
111.0,lowerHalf,5906760.0,92300.0,64.0,2.67,1.0,26.0
92.0,upperHalf,3177388.0,1030700.0,3.1,0.48,1.0,754.0
89.0,lowerHalf,32930091.0,2381740.0,13.8,3.22,1.0,998.0
51.0,upperHalf,78887007.0,1001450.0,78.8,2.87,1.0,2.45
?,upperHalf,?,?,?,?,?,0.0
?,upperHalf,108004.0,702.0,153.9,5.71,2.0,6.112
?,lowerHalf,208869.0,12200.0,17.1,2.46,2.0,2.528
?,lowerHalf,105432.0,811.0,130.0,2.74,2.0,1.143
?,lowerHalf,11810.0,26.0,454.2,0.0,2.0,24.0
?,lowerHalf,114689.0,748.0,153.3,23.61,2.0,419.0
?,lowerHalf,9396411.0,88361.0,106.3,33.35,,0.0
?,lowerHalf,?,?,?,?,?,?
?,lowerHalf,?,?,?,?,?,293.5
?,lowerHalf,176908.0,2944.0,60.1,21.2,2.0,403.0
